InteractionID;UserID;SessionDuration (secs);QueryType;ResponseTime (secs);SatisfactionRating;ResolvedQuery;SentimentScore;IntentConfidence (%);ResponseLength (words);Language;ChatbotVersion;Escalation;InteractionDate;EfficiencyScore
23;1769;252;Product Inquiry;5;5;No;-0.72;91.67;60;Spanish;v1.1;No;01/01/2023 22:00;10.17
24;3391;303;General Query;1;1;Yes;0.57;68.32;56;English;v2.0;No;01/01/2023 23:00;7.53
25;2515;499;Technical Support;6;4;No;-0.56;64.97;47;English;v2.1;Yes;02/01/2023 00:00;7.1
26;4485;28;General Query;2;3;Yes;0.91;85.39;10;English;v1.0;No;02/01/2023 01:00;9.74
27;3853;398;Others;2;1;No;-0.4;86.75;78;Other;v1.0;No;02/01/2023 02:00;8.78
28;3433;400;General Query;4;3;Yes;-0.7;74.31;78;English;v2.0;No;02/01/2023 03:00;8.43
29;2215;379;General Query;2;4;Yes;0.16;64.9;47;English;v1.1;No;02/01/2023 04:00;7.99
30;1955;195;General Query;9;4;Yes;0.7;66.54;79;Spanish;v2.0;No;02/01/2023 05:00;7.45
31;3324;504;Product Inquiry;3;5;Yes;0.48;75.8;23;English;v1.1;Yes;02/01/2023 06:00;9.28
32;2184;424;General Query;8;4;Yes;-0.82;63.69;34;English;v2.1;No;02/01/2023 07:00;7.27
33;1459;52;Technical Support;7;2;Yes;-0.29;78.08;44;English;v1.1;No;02/01/2023 08:00;8.21
34;4385;484;General Query;7;4;Yes;0.5;50.36;99;English;v1.0;No;02/01/2023 09:00;6.04
35;1021;176;General Query;4;5;Yes;-0.76;66.44;63;English;v1.0;No;02/01/2023 10:00;8.24
36;3300;584;Feedback;4;5;Yes;-0.17;59.91;77;English;v1.0;No;02/01/2023 11:00;7.59
37;1747;221;Feedback;1;1;Yes;0.1;91.27;82;English;v1.0;No;02/01/2023 12:00;9.83
38;3904;194;Product Inquiry;8;3;Yes;-0.47;58.52;95;English;v2.1;Yes;02/01/2023 13:00;6.45
39;4632;263;Technical Support;1;2;No;0.92;93.4;99;English;v1.0;No;02/01/2023 14:00;9.84
40;1474;288;General Query;4;3;Yes;-0.01;50.17;19;English;v1.0;No;02/01/2023 15:00;6.02
41;2082;465;General Query;3;3;No;0.79;70.29;96;French;v2.0;Yes;02/01/2023 16:00;7.63
42;3558;93;General Query;1;3;Yes;0.09;59.91;6;French;v1.1;No;02/01/2023 17:00;7.29
43;4753;115;Others;7;4;Yes;0.68;74.96;52;English;v2.1;No;02/01/2023 18:00;8.5
44;3047;192;Product Inquiry;7;4;Yes;0.91;69.91;41;German;v1.1;No;02/01/2023 19:00;7.99
45;4547;425;General Query;2;3;Yes;0.87;61.31;99;English;v2.1;No;02/01/2023 20:00;7.33
46;3747;174;General Query;5;3;Yes;-0.13;92.1;90;Spanish;v2.0;No;02/01/2023 21:00;10.11
47;1975;202;General Query;8;2;Yes;0.94;81.26;78;Spanish;v2.1;No;02/01/2023 22:00;8.43
48;2806;342;General Query;1;3;Yes;-0.41;80.8;88;Spanish;v1.0;No;02/01/2023 23:00;9.38
49;1189;308;Product Inquiry;9;4;No;0.26;72.7;75;English;v2.0;No;03/01/2023 00:00;7.57
50;4005;277;General Query;7;1;Yes;0.61;76.1;75;English;v2.1;Yes;03/01/2023 01:00;7.71
51;3734;193;General Query;7;4;Yes;-0.84;59.4;6;English;v2.1;Yes;03/01/2023 02:00;6.94
52;4005;349;General Query;2;3;No;0.53;92.45;66;Spanish;v1.1;No;03/01/2023 03:00;9.94
53;1562;250;Product Inquiry;8;5;No;0.98;87.14;52;English;v1.0;No;03/01/2023 04:00;9.41
54;2899;180;Technical Support;3;3;No;-0.58;98.39;63;Spanish;v2.0;No;03/01/2023 05:00;10.44
55;4638;205;Product Inquiry;7;5;Yes;0.64;55.69;20;English;v1.0;No;03/01/2023 06:00;6.87
56;2267;162;Technical Support;3;4;Yes;0.12;82.22;71;English;v2.1;No;03/01/2023 07:00;9.62
57;3879;301;General Query;6;3;Yes;0.83;73.6;91;Spanish;v2.1;No;03/01/2023 08:00;8.16
58;2528;46;General Query;1;2;Yes;-0.11;97.97;97;Spanish;v1.1;Yes;03/01/2023 09:00;10.8
59;4202;265;Technical Support;4;5;Yes;0.59;89.65;65;French;v2.1;No;03/01/2023 10:00;10.57
60;4556;506;General Query;9;2;Yes;0.44;72.83;11;English;v1.0;No;03/01/2023 11:00;7.48
61;4890;221;Product Inquiry;7;4;Yes;0.02;84.04;18;English;v1.0;Yes;03/01/2023 12:00;9.4
62;1646;40;Feedback;7;4;Yes;0.77;66.74;68;Other;v2.1;No;03/01/2023 13:00;7.67
63;3068;113;Product Inquiry;4;3;Yes;0.78;98.33;44;Spanish;v2.1;No;03/01/2023 14:00;10.83
64;3888;27;General Query;1;4;No;0.97;73.33;20;English;v1.0;No;03/01/2023 15:00;8.43
65;3214;491;Feedback;1;2;No;-0.47;61.55;57;English;v2.0;No;03/01/2023 16:00;6.66
66;2297;358;General Query;3;2;Yes;0.14;88.02;77;English;v2.1;No;03/01/2023 17:00;9.6
67;3435;278;Technical Support;7;4;Yes;-0.48;70.53;69;English;v1.0;No;03/01/2023 18:00;8.05
68;1600;74;General Query;7;2;Yes;0.74;67.1;96;Spanish;v1.1;No;03/01/2023 19:00;7.11
69;3363;567;Product Inquiry;5;5;Yes;0.38;69.62;49;Other;v1.0;No;03/01/2023 20:00;8.46
70;3061;25;Product Inquiry;9;3;Yes;0.59;50.34;8;Spanish;v2.1;No;03/01/2023 21:00;5.53
71;1241;396;Product Inquiry;2;1;Yes;0.79;52.37;93;English;v1.1;No;03/01/2023 22:00;5.84
72;3041;573;Technical Support;9;4;Yes;0.06;62.78;45;English;v1.1;No;03/01/2023 23:00;7.08
73;3824;69;Feedback;9;3;Yes;0.95;69.55;52;English;v1.1;No;04/01/2023 00:00;7.46
74;4417;131;General Query;6;2;Yes;0.22;57.94;48;French;v2.0;Yes;04/01/2023 01:00;6.29
75;3612;165;Technical Support;4;3;Yes;0.3;50.22;69;French;v1.1;No;04/01/2023 02:00;6.02
76;3945;249;General Query;5;4;Yes;-0.89;51.75;28;English;v1.0;No;04/01/2023 03:00;6.38
77;2363;516;General Query;6;5;Yes;-0.71;88.17;75;Other;v1.0;No;04/01/2023 04:00;10.22
78;3139;325;Others;4;3;Yes;0.43;51.27;98;English;v2.0;No;04/01/2023 05:00;6.13
79;2390;561;Product Inquiry;9;4;Yes;0.2;90.15;93;English;v2.0;No;04/01/2023 06:00;9.82
80;4003;480;General Query;2;3;Yes;0.94;58.68;43;German;v1.0;No;04/01/2023 07:00;7.07
81;2478;245;Product Inquiry;8;1;Yes;-0.25;94.28;54;English;v2.1;No;04/01/2023 08:00;9.43
82;4499;78;General Query;9;5;Yes;0.64;86.77;67;Spanish;v2.0;No;04/01/2023 09:00;9.78
83;3556;95;Product Inquiry;4;2;No;0.47;61.3;85;English;v2.0;No;04/01/2023 10:00;6.33
84;1775;447;Product Inquiry;9;3;Yes;-0.63;50.96;16;Spanish;v2.1;No;04/01/2023 11:00;5.6
85;1034;151;Feedback;2;4;Yes;-0.63;86.24;54;English;v2.1;No;04/01/2023 12:00;10.12
86;3253;517;General Query;3;4;Yes;-0.65;53.8;24;English;v2.1;No;04/01/2023 13:00;6.78
87;4152;324;General Query;5;4;Yes;-0.25;95.48;96;English;v2.0;No;04/01/2023 14:00;10.75
88;2955;86;General Query;4;3;Yes;-0.72;55.56;67;English;v2.1;No;04/01/2023 15:00;6.56
89;2585;249;General Query;3;4;Yes;0.74;93.77;40;English;v2.1;No;04/01/2023 16:00;10.78
90;4943;352;Feedback;4;4;Yes;0.34;77.04;38;Spanish;v2.1;No;04/01/2023 17:00;9.0
91;4459;296;Feedback;9;5;Yes;0.64;73.52;73;English;v1.1;No;04/01/2023 18:00;8.45
92;4073;163;Technical Support;9;4;Yes;-0.89;87.08;95;Other;v2.0;Yes;04/01/2023 19:00;9.51
93;2021;270;Product Inquiry;5;5;No;0.45;79.92;30;English;v2.1;No;04/01/2023 20:00;8.99
94;4461;99;Technical Support;7;2;Yes;-0.18;78.73;77;English;v2.1;No;04/01/2023 21:00;8.27
95;3613;76;General Query;8;3;Yes;0.53;87.67;91;English;v1.1;Yes;04/01/2023 22:00;9.37
96;2129;385;General Query;2;3;Yes;0.27;91.21;32;English;v2.1;No;04/01/2023 23:00;10.32
97;4843;327;General Query;9;4;Yes;-0.36;52.17;22;English;v1.1;No;05/01/2023 00:00;6.02
98;4893;193;Technical Support;9;3;Yes;0.9;75.11;19;Spanish;v2.1;No;05/01/2023 01:00;8.01
99;2500;481;Product Inquiry;2;3;Yes;0.01;90.86;12;German;v2.0;Yes;05/01/2023 02:00;10.29
100;1702;512;Product Inquiry;6;2;Yes;-0.12;88.06;48;German;v1.1;No;05/01/2023 03:00;9.31
101;3449;579;General Query;4;2;No;0.15;52.55;10;Spanish;v2.1;No;05/01/2023 04:00;5.46
102;3777;393;Product Inquiry;1;3;Yes;-0.2;74.19;76;English;v1.0;No;05/01/2023 05:00;8.72
103;2579;368;Feedback;5;1;No;-0.91;84.48;99;French;v1.1;No;05/01/2023 06:00;8.25
104;1161;86;General Query;3;1;Yes;0.41;86.57;65;Spanish;v1.0;No;05/01/2023 07:00;9.16
105;1201;349;Product Inquiry;1;4;Yes;0.2;53.47;41;English;v1.1;No;05/01/2023 08:00;6.95
106;2981;213;General Query;2;1;Yes;-0.23;93.46;44;English;v1.1;No;05/01/2023 09:00;9.95
107;1995;174;Technical Support;7;1;Yes;0.11;61.67;21;English;v2.1;No;05/01/2023 10:00;6.27
108;3317;179;Product Inquiry;1;1;Yes;-0.42;59.34;91;English;v2.0;No;05/01/2023 11:00;6.63
109;4934;285;General Query;3;4;Yes;0.02;53.23;62;German;v2.1;No;05/01/2023 12:00;6.72
110;1815;187;Product Inquiry;1;3;Yes;0.68;77.49;74;English;v1.1;No;05/01/2023 13:00;9.05
111;4342;164;General Query;1;4;Yes;-0.8;67.52;78;English;v2.1;No;05/01/2023 14:00;8.35
112;1455;205;Feedback;8;2;No;0.1;96.26;98;English;v2.1;No;05/01/2023 15:00;9.43
113;4533;442;Others;6;3;Yes;0.64;54.65;54;English;v1.0;No;05/01/2023 16:00;6.26
114;4798;476;Product Inquiry;4;4;Yes;0.7;94.79;27;Other;v2.1;No;05/01/2023 17:00;10.78
115;2275;364;General Query;8;4;Yes;-1.0;76.19;62;English;v2.0;No;05/01/2023 18:00;8.52
116;2016;573;Technical Support;7;3;Yes;-0.32;75.35;95;German;v1.1;No;05/01/2023 19:00;8.24
117;4773;535;Product Inquiry;9;4;Yes;0.26;71.78;10;Spanish;v1.1;No;05/01/2023 20:00;7.98
118;3343;123;General Query;1;4;Yes;0.11;98.16;76;Spanish;v1.1;Yes;05/01/2023 21:00;11.42
119;4796;266;General Query;5;4;Yes;0.06;94.86;85;English;v1.1;No;05/01/2023 22:00;10.69
120;3767;42;Feedback;6;5;Yes;-0.92;98.58;40;German;v2.0;No;05/01/2023 23:00;11.26
121;4820;544;Technical Support;6;3;Yes;-0.27;91.61;33;English;v1.1;No;06/01/2023 00:00;9.96
122;1337;163;Technical Support;7;1;Yes;0.22;65.75;88;English;v2.0;No;06/01/2023 01:00;6.68
123;1878;212;Product Inquiry;5;3;Yes;-0.4;80.51;23;Spanish;v1.0;No;06/01/2023 02:00;8.95
124;2076;484;Technical Support;5;3;Yes;-0.59;70.76;99;English;v2.1;No;06/01/2023 03:00;7.98
125;1791;394;Product Inquiry;1;3;Yes;0.64;72.76;29;German;v1.0;No;06/01/2023 04:00;8.58
126;4993;285;General Query;5;4;Yes;0.31;76.61;48;English;v2.0;No;06/01/2023 05:00;8.86
127;3264;397;Technical Support;1;1;Yes;0.8;74.45;47;English;v2.1;No;06/01/2023 06:00;8.14
128;1763;569;Others;2;3;Yes;0.53;79.26;82;Spanish;v2.0;No;06/01/2023 07:00;9.13
129;3235;575;Feedback;1;4;No;-0.85;55.61;10;French;v1.1;No;06/01/2023 08:00;6.66
130;1379;93;Technical Support;8;4;Yes;0.11;99.22;52;English;v2.1;No;06/01/2023 09:00;10.82
131;1492;457;Technical Support;8;5;Yes;-0.48;94.01;46;English;v2.0;No;06/01/2023 10:00;10.6
132;4112;245;Technical Support;8;1;Yes;0.95;82.43;76;French;v1.1;No;06/01/2023 11:00;8.24
133;2180;327;Feedback;1;3;Yes;-0.0;57.66;46;English;v1.1;Yes;06/01/2023 12:00;7.07
134;3062;367;Product Inquiry;4;5;Yes;0.33;67.18;66;English;v1.1;No;06/01/2023 13:00;8.32
135;4884;495;General Query;1;2;Yes;-0.98;80.42;88;English;v1.0;No;06/01/2023 14:00;9.04
136;1064;334;Technical Support;4;5;Yes;0.26;63.58;87;Spanish;v1.1;No;06/01/2023 15:00;7.96
137;4928;544;Feedback;7;2;Yes;-0.91;81.84;51;English;v1.0;No;06/01/2023 16:00;8.58
138;4910;444;General Query;7;4;Yes;-0.33;90.81;31;English;v2.0;No;06/01/2023 17:00;10.08
139;3568;543;Technical Support;1;1;Yes;-0.71;72.28;75;English;v1.0;No;06/01/2023 18:00;7.93
140;2367;581;General Query;2;3;Yes;-0.06;64.7;68;French;v1.0;No;06/01/2023 19:00;7.67
141;2152;268;Feedback;6;2;Yes;0.77;78.71;9;English;v1.0;No;06/01/2023 20:00;8.37
142;3027;588;Technical Support;6;3;Yes;0.25;85.04;14;Spanish;v1.0;No;06/01/2023 21:00;9.3
143;3695;201;Product Inquiry;1;3;Yes;-0.52;60.84;29;English;v2.0;No;06/01/2023 22:00;7.38
144;2495;125;Technical Support;4;2;Yes;0.25;63.81;55;English;v2.0;No;06/01/2023 23:00;7.08
145;4134;210;Technical Support;9;5;Yes;0.18;81.19;79;English;v1.1;No;07/01/2023 00:00;9.22
146;2162;156;Feedback;8;2;Yes;0.05;52.9;23;Spanish;v1.0;No;07/01/2023 01:00;5.59
147;2522;139;Feedback;4;3;Yes;-0.46;56.07;23;German;v1.1;No;07/01/2023 02:00;6.61
148;3640;91;General Query;3;5;Yes;-0.16;95.49;97;French;v2.0;No;07/01/2023 03:00;11.25
149;1391;150;General Query;8;3;Yes;-0.17;92.94;6;French;v1.0;No;07/01/2023 04:00;9.89
150;2698;476;Technical Support;9;4;Yes;-0.54;54.6;22;English;v1.1;No;07/01/2023 05:00;6.26
151;1418;498;Feedback;1;4;No;0.39;94.84;94;English;v2.0;No;07/01/2023 06:00;10.58
152;3336;71;General Query;8;5;Yes;0.61;83.68;19;Other;v1.0;No;07/01/2023 07:00;9.57
153;1378;593;General Query;5;4;Yes;-0.47;93.91;34;English;v1.1;No;07/01/2023 08:00;10.59
154;2796;138;General Query;3;3;No;0.82;89.44;42;Spanish;v1.1;No;07/01/2023 09:00;9.54
155;4561;283;General Query;5;4;Yes;0.6;57.47;43;English;v1.1;No;07/01/2023 10:00;6.95
156;3278;258;Technical Support;4;2;Yes;0.69;93.19;90;English;v1.1;No;07/01/2023 11:00;10.02
157;4065;370;General Query;1;3;No;0.56;98.88;51;Other;v2.0;No;07/01/2023 12:00;10.69
158;3088;274;General Query;8;4;Yes;0.92;93.96;88;French;v1.1;No;07/01/2023 13:00;10.3
159;4099;328;Feedback;7;2;Yes;-0.71;59.64;91;Spanish;v1.1;No;07/01/2023 14:00;6.36
160;3182;514;General Query;4;3;Yes;-0.82;52.12;31;English;v1.1;No;07/01/2023 15:00;6.21
161;1200;76;Technical Support;4;3;Yes;0.77;90.9;26;English;v2.0;No;07/01/2023 16:00;10.09
162;2863;422;General Query;5;2;Yes;-0.03;88.15;25;English;v2.0;No;07/01/2023 17:00;9.42
163;1779;86;Technical Support;1;4;Yes;-0.4;99.85;40;English;v1.1;No;07/01/2023 18:00;11.58
164;3977;65;General Query;4;4;Yes;0.83;96.27;99;Spanish;v1.0;No;07/01/2023 19:00;10.93
165;4104;388;General Query;5;5;No;-0.21;59.57;69;French;v2.1;No;07/01/2023 20:00;6.96
166;4119;251;Product Inquiry;8;1;Yes;-0.73;57.85;63;English;v1.1;No;07/01/2023 21:00;5.78
167;1502;421;Feedback;1;5;No;-0.81;71.9;57;Spanish;v2.0;No;07/01/2023 22:00;8.59
168;3454;580;Product Inquiry;4;1;Yes;0.05;82.54;72;French;v1.0;No;07/01/2023 23:00;8.65
169;4645;42;General Query;7;4;Yes;-0.97;67.51;29;Other;v1.0;No;08/01/2023 00:00;7.75
170;2751;593;Technical Support;5;2;No;0.9;71.85;71;Other;v2.1;No;08/01/2023 01:00;7.28
171;1804;286;General Query;1;4;Yes;-0.78;74.43;33;English;v2.0;Yes;08/01/2023 02:00;9.04
172;3146;137;Feedback;7;4;Yes;-0.26;69.35;81;French;v1.0;No;08/01/2023 03:00;7.94
173;3731;74;General Query;1;3;Yes;-0.37;51.52;88;English;v1.0;No;08/01/2023 04:00;6.45
174;2895;172;Product Inquiry;2;2;Yes;-0.22;68.07;77;French;v2.0;No;08/01/2023 05:00;7.71
175;3773;258;General Query;8;1;Yes;0.49;59.92;66;French;v2.1;No;08/01/2023 06:00;5.99
176;2570;284;Product Inquiry;9;3;Yes;0.03;54.84;14;English;v1.0;No;08/01/2023 07:00;5.98
177;1960;287;Product Inquiry;8;4;Yes;-0.83;63.8;8;French;v2.1;No;08/01/2023 08:00;7.28
178;4810;132;Product Inquiry;8;3;No;-0.81;69.13;13;English;v2.1;No;08/01/2023 09:00;7.01
179;3660;185;General Query;6;2;Yes;-0.39;51.01;81;English;v1.0;No;08/01/2023 10:00;5.6
180;2485;27;Feedback;7;2;Yes;-0.6;96.68;32;English;v2.1;No;08/01/2023 11:00;10.07
181;3690;236;Technical Support;4;2;No;-0.03;53.49;84;English;v2.0;No;08/01/2023 12:00;5.55
182;4840;450;Product Inquiry;5;4;Yes;0.93;62.06;14;English;v2.1;No;08/01/2023 13:00;7.41
183;2028;311;Product Inquiry;2;2;Yes;0.37;84.69;70;French;v1.0;Yes;08/01/2023 14:00;9.37
184;4289;69;Technical Support;4;3;Yes;0.8;99.11;36;English;v2.0;No;08/01/2023 15:00;10.91
185;1502;126;General Query;7;4;Yes;0.07;93.98;46;Other;v2.0;No;08/01/2023 16:00;10.4
186;3814;28;Feedback;4;4;Yes;0.29;55.34;71;English;v2.1;No;08/01/2023 17:00;6.83
187;1397;475;General Query;6;3;No;-0.46;64.17;86;English;v2.1;No;08/01/2023 18:00;6.72
188;1870;342;Technical Support;8;4;Yes;-0.71;53.15;95;English;v2.1;Yes;08/01/2023 19:00;6.22
189;3842;328;Product Inquiry;5;3;Yes;-0.82;81.06;65;French;v1.0;No;08/01/2023 20:00;9.01
190;1392;164;Product Inquiry;8;4;Yes;-0.23;90.45;81;English;v1.1;No;08/01/2023 21:00;9.94
191;1206;431;Feedback;4;4;Yes;-0.5;62.19;34;German;v1.0;No;08/01/2023 22:00;7.52
192;2038;133;General Query;2;4;Yes;-0.73;66.19;21;English;v1.0;Yes;08/01/2023 23:00;8.12
193;2881;594;Technical Support;9;4;Yes;0.84;86.74;7;German;v1.1;No;09/01/2023 00:00;9.47
194;4625;418;Product Inquiry;2;4;Yes;-0.73;66.07;29;Spanish;v2.1;Yes;09/01/2023 01:00;8.11
195;3939;294;General Query;7;4;Yes;-0.9;65.47;14;English;v2.1;No;09/01/2023 02:00;7.55
196;2484;143;Product Inquiry;6;5;No;-0.83;82.48;14;German;v1.1;No;09/01/2023 03:00;9.15
197;4762;105;Technical Support;2;3;Yes;-0.99;52.86;69;English;v1.1;No;09/01/2023 04:00;6.49
198;4646;66;General Query;3;5;No;-0.56;89.31;44;English;v1.0;No;09/01/2023 05:00;10.13
199;1863;220;Product Inquiry;7;1;Yes;-0.51;55.4;96;English;v1.1;No;09/01/2023 06:00;5.64
200;3790;295;Product Inquiry;6;3;Yes;0.32;53.99;19;English;v2.1;No;09/01/2023 07:00;6.2
201;4312;568;Product Inquiry;6;5;Yes;-0.75;76.9;41;French;v2.0;No;09/01/2023 08:00;9.09
202;1563;149;Feedback;7;3;Yes;-0.59;88.91;21;French;v1.0;No;09/01/2023 09:00;9.59
203;2020;467;General Query;5;5;Yes;0.81;72.73;58;English;v1.1;No;09/01/2023 10:00;8.77
204;1095;408;Product Inquiry;1;3;Yes;-0.93;55.28;78;English;v1.1;No;09/01/2023 11:00;6.83
205;2923;595;Product Inquiry;5;2;Yes;-0.91;73.9;87;English;v2.0;No;09/01/2023 12:00;7.99
206;2757;282;General Query;9;1;Yes;-0.18;97.24;18;French;v2.1;No;09/01/2023 13:00;9.62
207;3532;297;Feedback;2;4;Yes;0.73;79.75;78;English;v1.1;No;09/01/2023 14:00;9.48
208;4478;65;General Query;3;2;Yes;0.97;74.96;98;English;v1.0;No;09/01/2023 15:00;8.3
209;3278;187;General Query;2;3;Yes;-0.7;57.05;28;Spanish;v1.0;No;09/01/2023 16:00;6.9
210;3796;464;Technical Support;5;3;No;0.23;55.16;38;French;v1.0;No;09/01/2023 17:00;5.92
211;2678;65;General Query;5;4;Yes;-0.99;88.49;34;English;v1.0;No;09/01/2023 18:00;10.05
212;4242;559;Technical Support;5;4;Yes;0.9;90.89;86;English;v1.0;No;09/01/2023 19:00;10.29
213;1540;106;Technical Support;6;4;Yes;0.2;53.85;59;English;v1.1;No;09/01/2023 20:00;6.48
214;2059;404;General Query;3;3;Yes;-0.52;95.39;97;English;v1.1;No;09/01/2023 21:00;10.64
215;3572;284;General Query;8;4;Yes;-0.02;77.46;55;English;v2.0;No;09/01/2023 22:00;8.65
216;2183;41;General Query;3;4;Yes;0.26;76.16;94;Spanish;v2.0;No;09/01/2023 23:00;9.02
217;4910;469;General Query;2;2;Yes;-0.98;83.95;13;English;v1.1;No;10/01/2023 00:00;9.3
218;2722;251;General Query;9;3;Yes;-0.86;68.16;38;Spanish;v2.0;No;10/01/2023 01:00;7.32
219;4314;205;Feedback;6;1;Yes;0.94;89.13;19;German;v2.0;No;10/01/2023 02:00;9.11
220;4157;345;Technical Support;7;3;Yes;0.56;93.76;32;Spanish;v2.0;No;10/01/2023 03:00;10.08
221;2819;202;General Query;1;4;Yes;0.06;65.39;67;Other;v1.1;No;10/01/2023 04:00;8.14
222;3625;416;Feedback;3;1;Yes;-0.54;71.3;10;Spanish;v2.1;No;10/01/2023 05:00;7.63
223;3729;500;General Query;7;3;Yes;-0.84;57.12;8;English;v1.0;No;10/01/2023 06:00;6.41
224;3604;422;Technical Support;8;1;Yes;0.58;89.35;82;English;v1.0;No;10/01/2023 07:00;8.94
225;2597;482;General Query;2;3;No;0.77;65.04;48;English;v2.0;No;10/01/2023 08:00;7.2
226;4060;436;General Query;5;5;No;-0.49;74.99;9;English;v2.1;No;10/01/2023 09:00;8.5
227;3693;221;Technical Support;5;3;No;-0.68;52.59;26;English;v2.0;No;10/01/2023 10:00;5.66
228;1795;84;Product Inquiry;9;3;No;0.93;74.98;64;English;v1.1;No;10/01/2023 11:00;7.5
229;2051;574;Product Inquiry;3;2;Yes;-0.11;51.72;70;English;v1.1;No;10/01/2023 12:00;5.97
230;2643;36;Product Inquiry;5;4;Yes;0.53;61.39;64;German;v1.0;No;10/01/2023 13:00;7.34
231;4627;202;General Query;8;3;Yes;-0.13;53.11;68;English;v1.1;No;10/01/2023 14:00;5.91
232;2363;410;Technical Support;3;2;Yes;-0.47;51.99;85;English;v2.1;No;10/01/2023 15:00;6.0
233;4869;63;Technical Support;6;1;Yes;-0.04;58.19;65;Spanish;v2.0;No;10/01/2023 16:00;6.02
234;2981;501;General Query;9;5;Yes;-0.1;69.48;6;Spanish;v1.0;No;10/01/2023 17:00;8.05
235;2354;282;General Query;4;4;Yes;0.04;65.09;89;Spanish;v2.0;Yes;10/01/2023 18:00;7.81
236;2663;193;Product Inquiry;7;5;Yes;0.8;62.76;46;Spanish;v2.1;No;10/01/2023 19:00;7.58
237;2529;460;Product Inquiry;8;3;Yes;-0.79;65.25;50;Spanish;v1.1;No;10/01/2023 20:00;7.12
238;3038;585;Product Inquiry;6;5;Yes;0.04;50.98;90;French;v1.0;Yes;10/01/2023 21:00;6.5
239;4419;239;Technical Support;1;4;Yes;-0.88;93.5;76;English;v1.1;No;10/01/2023 22:00;10.95
240;2496;577;Others;6;3;Yes;0.21;99.27;45;English;v2.1;No;10/01/2023 23:00;10.73
241;4302;413;General Query;4;2;Yes;0.18;52.29;78;French;v1.0;No;11/01/2023 00:00;5.93
242;3237;214;Product Inquiry;3;1;Yes;0.86;80.53;74;English;v1.0;Yes;11/01/2023 01:00;8.55
243;4296;428;Technical Support;3;1;Yes;0.69;95.21;41;Spanish;v1.0;No;11/01/2023 02:00;10.02
244;2408;490;Product Inquiry;3;4;Yes;-0.57;84.19;23;Spanish;v2.1;No;11/01/2023 03:00;9.82
245;2400;366;General Query;1;4;Yes;-0.19;57.52;10;English;v2.0;No;11/01/2023 04:00;7.35
246;2306;481;Product Inquiry;1;2;Yes;-0.69;88.37;33;French;v1.1;No;11/01/2023 05:00;9.84
247;3680;80;Technical Support;2;4;Yes;0.39;96.32;35;Spanish;v1.0;Yes;11/01/2023 06:00;11.13
248;3675;185;Product Inquiry;5;5;Yes;0.17;72.53;12;English;v2.1;No;11/01/2023 07:00;8.75
